Request_id,Pickup_point,Driver_id,Status,Request_timestamp,Request_Time,Request_Date,Request_Day,Request_Time_of_the_day,Drop_timestamp,Drop_Time,Drop_Date,Drop_Day
34,City,78,Trip Completed,2016-07-11 02:20:00,02:20:00,2016-07-11,Monday,MidNight Hours,2016-07-11 03:34:00,03:34:00,2016-07-11,Monday
35,City,107,Trip Completed,2016-07-11 02:36:00,02:36:00,2016-07-11,Monday,MidNight Hours,2016-07-11 03:03:00,03:03:00,2016-07-11,Monday
36,City,,No Cars Available,2016-07-11 02:33:00,02:33:00,2016-07-11,Monday,MidNight Hours,,,,
37,Airport,,No Cars Available,2016-07-11 02:34:00,02:34:00,2016-07-11,Monday,MidNight Hours,,,,
38,City,,No Cars Available,2016-07-11 02:39:00,02:39:00,2016-07-11,Monday,MidNight Hours,,,,
39,Airport,,No Cars Available,2016-07-11 02:48:00,02:48:00,2016-07-11,Monday,MidNight Hours,,,,
40,Airport,,No Cars Available,2016-07-11 02:42:00,02:42:00,2016-07-11,Monday,MidNight Hours,,,,
41,City,109,Trip Completed,2016-07-11 02:47:00,02:47:00,2016-07-11,Monday,MidNight Hours,2016-07-11 03:23:00,03:23:00,2016-07-11,Monday
42,Airport,,No Cars Available,2016-07-11 02:55:00,02:55:00,2016-07-11,Monday,MidNight Hours,,,,
43,City,,No Cars Available,2016-07-11 03:06:00,03:06:00,2016-07-11,Monday,MidNight Hours,,,,
44,Airport,,No Cars Available,2016-07-11 03:07:00,03:07:00,2016-07-11,Monday,MidNight Hours,,,,
45,Airport,12,Trip Completed,2016-07-11 03:17:00,03:17:00,2016-07-11,Monday,MidNight Hours,2016-07-11 04:09:00,04:09:00,2016-07-11,Monday
46,Airport,,No Cars Available,2016-07-11 03:16:00,03:16:00,2016-07-11,Monday,MidNight Hours,,,,
47,City,124,Trip Completed,2016-07-11 03:22:00,03:22:00,2016-07-11,Monday,MidNight Hours,2016-07-11 04:35:00,04:35:00,2016-07-11,Monday
48,City,150,Trip Completed,2016-07-11 03:14:00,03:14:00,2016-07-11,Monday,MidNight Hours,2016-07-11 04:19:00,04:19:00,2016-07-11,Monday
49,Airport,,No Cars Available,2016-07-11 03:29:00,03:29:00,2016-07-11,Monday,MidNight Hours,,,,
50,City,100,Trip Completed,2016-07-11 03:22:00,03:22:00,2016-07-11,Monday,MidNight Hours,2016-07-11 03:57:00,03:57:00,2016-07-11,Monday
51,City,86,Trip Completed,2016-07-11 03:34:00,03:34:00,2016-07-11,Monday,MidNight Hours,2016-07-11 04:33:00,04:33:00,2016-07-11,Monday
52,City,,No Cars Available,2016-07-11 03:30:00,03:30:00,2016-07-11,Monday,MidNight Hours,,,,
53,Airport,95,Trip Completed,2016-07-11 03:30:00,03:30:00,2016-07-11,Monday,MidNight Hours,2016-07-11 04:22:00,04:22:00,2016-07-11,Monday
54,City,,No Cars Available,2016-07-11 03:34:00,03:34:00,2016-07-11,Monday,MidNight Hours,,,,
55,Airport,,No Cars Available,2016-07-11 03:41:00,03:41:00,2016-07-11,Monday,MidNight Hours,,,,
56,City,,No Cars Available,2016-07-11 03:58:00,03:58:00,2016-07-11,Monday,MidNight Hours,,,,
57,City,,No Cars Available,2016-07-11 03:52:00,03:52:00,2016-07-11,Monday,MidNight Hours,,,,
58,Airport,,No Cars Available,2016-07-11 04:03:00,04:03:00,2016-07-11,Monday,Early Morning,,,,
59,City,,No Cars Available,2016-07-11 03:58:00,03:58:00,2016-07-11,Monday,MidNight Hours,,,,
60,City,141,Trip Completed,2016-07-11 03:57:00,03:57:00,2016-07-11,Monday,MidNight Hours,2016-07-11 04:46:00,04:46:00,2016-07-11,Monday
61,Airport,,No Cars Available,2016-07-11 04:05:00,04:05:00,2016-07-11,Monday,Early Morning,,,,
62,Airport,,No Cars Available,2016-07-11 04:10:00,04:10:00,2016-07-11,Monday,Early Morning,,,,
63,Airport,,No Cars Available,2016-07-11 04:17:00,04:17:00,2016-07-11,Monday,Early Morning,,,,
64,City,52,Trip Completed,2016-07-11 04:16:00,04:16:00,2016-07-11,Monday,Early Morning,2016-07-11 05:28:00,05:28:00,2016-07-11,Monday
65,Airport,,No Cars Available,2016-07-11 04:23:00,04:23:00,2016-07-11,Monday,Early Morning,,,,
66,City,255,Trip Completed,2016-07-11 04:21:00,04:21:00,2016-07-11,Monday,Early Morning,2016-07-11 04:54:00,04:54:00,2016-07-11,Monday
67,Airport,,No Cars Available,2016-07-11 04:24:00,04:24:00,2016-07-11,Monday,Early Morning,,,,
68,Airport,,No Cars Available,2016-07-11 04:27:00,04:27:00,2016-07-11,Monday,Early Morning,,,,
69,Airport,,No Cars Available,2016-07-11 04:27:00,04:27:00,2016-07-11,Monday,Early Morning,,,,
70,City,80,Trip Completed,2016-07-11 04:34:00,04:34:00,2016-07-11,Monday,Early Morning,2016-07-11 05:30:00,05:30:00,2016-07-11,Monday
71,City,,No Cars Available,2016-07-11 04:37:00,04:37:00,2016-07-11,Monday,Early Morning,,,,
72,City,,No Cars Available,2016-07-11 04:36:00,04:36:00,2016-07-11,Monday,Early Morning,,,,
73,Airport,,No Cars Available,2016-07-11 04:36:00,04:36:00,2016-07-11,Monday,Early Morning,,,,
74,Airport,239,Trip Completed,2016-07-11 04:38:00,04:38:00,2016-07-11,Monday,Early Morning,2016-07-11 05:44:00,05:44:00,2016-07-11,Monday
75,Airport,,No Cars Available,2016-07-11 04:40:00,04:40:00,2016-07-11,Monday,Early Morning,,,,
76,City,158,Cancelled,2016-07-11 04:45:00,04:45:00,2016-07-11,Monday,Early Morning,,,,
77,City,171,Cancelled,2016-07-11 04:46:00,04:46:00,2016-07-11,Monday,Early Morning,,,,
78,City,,No Cars Available,2016-07-11 04:45:00,04:45:00,2016-07-11,Monday,Early Morning,,,,
79,City,,No Cars Available,2016-07-11 04:43:00,04:43:00,2016-07-11,Monday,Early Morning,,,,
80,City,3,Cancelled,2016-07-11 04:47:00,04:47:00,2016-07-11,Monday,Early Morning,,,,
81,Airport,73,Trip Completed,2016-07-11 04:47:00,04:47:00,2016-07-11,Monday,Early Morning,2016-07-11 06:00:00,06:00:00,2016-07-11,Monday
82,Airport,290,Trip Completed,2016-07-11 04:47:00,04:47:00,2016-07-11,Monday,Early Morning,2016-07-11 05:23:00,05:23:00,2016-07-11,Monday
83,City,,No Cars Available,2016-07-11 04:44:00,04:44:00,2016-07-11,Monday,Early Morning,,,,
84,City,28,Trip Completed,2016-07-11 04:50:00,04:50:00,2016-07-11,Monday,Early Morning,2016-07-11 05:26:00,05:26:00,2016-07-11,Monday
85,City,144,Cancelled,2016-07-11 04:47:00,04:47:00,2016-07-11,Monday,Early Morning,,,,
86,City,174,Cancelled,2016-07-11 04:51:00,04:51:00,2016-07-11,Monday,Early Morning,,,,
87,City,213,Trip Completed,2016-07-11 04:46:00,04:46:00,2016-07-11,Monday,Early Morning,2016-07-11 05:26:00,05:26:00,2016-07-11,Monday
88,Airport,76,Trip Completed,2016-07-11 04:54:00,04:54:00,2016-07-11,Monday,Early Morning,2016-07-11 06:07:00,06:07:00,2016-07-11,Monday
89,City,280,Trip Completed,2016-07-11 04:52:00,04:52:00,2016-07-11,Monday,Early Morning,2016-07-11 05:51:00,05:51:00,2016-07-11,Monday
90,Airport,126,Trip Completed,2016-07-11 04:53:00,04:53:00,2016-07-11,Monday,Early Morning,2016-07-11 05:34:00,05:34:00,2016-07-11,Monday
91,Airport,234,Trip Completed,2016-07-11 04:49:00,04:49:00,2016-07-11,Monday,Early Morning,2016-07-11 05:39:00,05:39:00,2016-07-11,Monday
92,City,16,Cancelled,2016-07-11 04:53:00,04:53:00,2016-07-11,Monday,Early Morning,,,,
93,City,69,Trip Completed,2016-07-11 04:53:00,04:53:00,2016-07-11,Monday,Early Morning,2016-07-11 05:30:00,05:30:00,2016-07-11,Monday
94,City,265,Trip Completed,2016-07-11 04:59:00,04:59:00,2016-07-11,Monday,Early Morning,2016-07-11 05:58:00,05:58:00,2016-07-11,Monday
95,Airport,270,Trip Completed,2016-07-11 04:54:00,04:54:00,2016-07-11,Monday,Early Morning,2016-07-11 06:03:00,06:03:00,2016-07-11,Monday
96,City,21,Cancelled,2016-07-11 04:58:00,04:58:00,2016-07-11,Monday,Early Morning,,,,
97,City,138,Trip Completed,2016-07-11 05:01:00,05:01:00,2016-07-11,Monday,Early Morning,2016-07-11 05:39:00,05:39:00,2016-07-11,Monday
98,City,205,Cancelled,2016-07-11 04:58:00,04:58:00,2016-07-11,Monday,Early Morning,,,,
99,City,70,Cancelled,2016-07-11 05:00:00,05:00:00,2016-07-11,Monday,Early Morning,,,,
100,City,256,Trip Completed,2016-07-11 05:00:00,05:00:00,2016-07-11,Monday,Early Morning,2016-07-11 05:47:00,05:47:00,2016-07-11,Monday
101,Airport,99,Trip Completed,2016-07-11 05:08:00,05:08:00,2016-07-11,Monday,Early Morning,2016-07-11 06:09:00,06:09:00,2016-07-11,Monday
102,Airport,100,Trip Completed,2016-07-11 05:01:00,05:01:00,2016-07-11,Monday,Early Morning,2016-07-11 05:38:00,05:38:00,2016-07-11,Monday
103,City,,No Cars Available,2016-07-11 05:02:00,05:02:00,2016-07-11,Monday,Early Morning,,,,
104,City,,No Cars Available,2016-07-11 05:00:00,05:00:00,2016-07-11,Monday,Early Morning,,,,
105,City,182,Cancelled,2016-07-11 04:58:00,04:58:00,2016-07-11,Monday,Early Morning,,,,
106,City,194,Trip Completed,2016-07-11 05:06:00,05:06:00,2016-07-11,Monday,Early Morning,2016-07-11 05:38:00,05:38:00,2016-07-11,Monday
107,City,215,Cancelled,2016-07-11 05:02:00,05:02:00,2016-07-11,Monday,Early Morning,,,,
108,City,248,Cancelled,2016-07-11 05:09:00,05:09:00,2016-07-11,Monday,Early Morning,,,,
109,City,284,Cancelled,2016-07-11 05:01:00,05:01:00,2016-07-11,Monday,Early Morning,,,,
110,City,22,Trip Completed,2016-07-11 05:05:00,05:05:00,2016-07-11,Monday,Early Morning,2016-07-11 06:06:00,06:06:00,2016-07-11,Monday
111,City,62,Cancelled,2016-07-11 05:06:00,05:06:00,2016-07-11,Monday,Early Morning,,,,
112,Airport,116,Trip Completed,2016-07-11 05:01:00,05:01:00,2016-07-11,Monday,Early Morning,2016-07-11 06:04:00,06:04:00,2016-07-11,Monday
113,City,185,Cancelled,2016-07-11 05:09:00,05:09:00,2016-07-11,Monday,Early Morning,,,,
114,City,217,Trip Completed,2016-07-11 05:10:00,05:10:00,2016-07-11,Monday,Early Morning,2016-07-11 05:40:00,05:40:00,2016-07-11,Monday
115,City,244,Cancelled,2016-07-11 05:14:00,05:14:00,2016-07-11,Monday,Early Morning,,,,
116,Airport,286,Trip Completed,2016-07-11 05:07:00,05:07:00,2016-07-11,Monday,Early Morning,2016-07-11 05:53:00,05:53:00,2016-07-11,Monday
117,City,,No Cars Available,2016-07-11 05:13:00,05:13:00,2016-07-11,Monday,Early Morning,,,,
118,Airport,44,Trip Completed,2016-07-11 05:11:00,05:11:00,2016-07-11,Monday,Early Morning,2016-07-11 05:52:00,05:52:00,2016-07-11,Monday
119,City,204,Cancelled,2016-07-11 05:10:00,05:10:00,2016-07-11,Monday,Early Morning,,,,
120,City,268,Cancelled,2016-07-11 05:04:00,05:04:00,2016-07-11,Monday,Early Morning,,,,
121,Airport,63,Trip Completed,2016-07-11 05:13:00,05:13:00,2016-07-11,Monday,Early Morning,2016-07-11 06:08:00,06:08:00,2016-07-11,Monday
122,City,124,Cancelled,2016-07-11 05:14:00,05:14:00,2016-07-11,Monday,Early Morning,,,,
123,City,130,Trip Completed,2016-07-11 05:12:00,05:12:00,2016-07-11,Monday,Early Morning,2016-07-11 06:14:00,06:14:00,2016-07-11,Monday
124,City,,No Cars Available,2016-07-11 05:12:00,05:12:00,2016-07-11,Monday,Early Morning,,,,
125,City,38,Trip Completed,2016-07-11 05:12:00,05:12:00,2016-07-11,Monday,Early Morning,2016-07-11 06:17:00,06:17:00,2016-07-11,Monday
126,City,40,Cancelled,2016-07-11 05:05:00,05:05:00,2016-07-11,Monday,Early Morning,,,,
127,City,173,Cancelled,2016-07-11 05:10:00,05:10:00,2016-07-11,Monday,Early Morning,,,,
128,City,43,Trip Completed,2016-07-11 05:12:00,05:12:00,2016-07-11,Monday,Early Morning,2016-07-11 05:48:00,05:48:00,2016-07-11,Monday
129,City,189,Cancelled,2016-07-11 05:10:00,05:10:00,2016-07-11,Monday,Early Morning,,,,
130,City,206,Cancelled,2016-07-11 05:12:00,05:12:00,2016-07-11,Monday,Early Morning,,,,
131,City,,No Cars Available,2016-07-11 05:10:00,05:10:00,2016-07-11,Monday,Early Morning,,,,
132,City,21,Cancelled,2016-07-11 05:15:00,05:15:00,2016-07-11,Monday,Early Morning,,,,
133,City,247,Cancelled,2016-07-11 05:14:00,05:14:00,2016-07-11,Monday,Early Morning,,,,
134,Airport,121,Trip Completed,2016-07-11 05:13:00,05:13:00,2016-07-11,Monday,Early Morning,2016-07-11 06:14:00,06:14:00,2016-07-11,Monday
135,City,,No Cars Available,2016-07-11 05:20:00,05:20:00,2016-07-11,Monday,Early Morning,,,,
136,City,,No Cars Available,2016-07-11 05:19:00,05:19:00,2016-07-11,Monday,Early Morning,,,,
137,City,,No Cars Available,2016-07-11 05:17:00,05:17:00,2016-07-11,Monday,Early Morning,,,,
138,City,,No Cars Available,2016-07-11 05:20:00,05:20:00,2016-07-11,Monday,Early Morning,,,,
139,Airport,14,Trip Completed,2016-07-11 05:21:00,05:21:00,2016-07-11,Monday,Early Morning,2016-07-11 06:09:00,06:09:00,2016-07-11,Monday
140,City,279,Cancelled,2016-07-11 05:17:00,05:17:00,2016-07-11,Monday,Early Morning,,,,
141,City,49,Cancelled,2016-07-11 05:20:00,05:20:00,2016-07-11,Monday,Early Morning,,,,
142,City,134,Trip Completed,2016-07-11 05:25:00,05:25:00,2016-07-11,Monday,Early Morning,2016-07-11 06:19:00,06:19:00,2016-07-11,Monday
143,Airport,157,Trip Completed,2016-07-11 05:24:00,05:24:00,2016-07-11,Monday,Early Morning,2016-07-11 06:01:00,06:01:00,2016-07-11,Monday
144,City,291,Cancelled,2016-07-11 05:24:00,05:24:00,2016-07-11,Monday,Early Morning,,,,
145,City,33,Trip Completed,2016-07-11 05:32:00,05:32:00,2016-07-11,Monday,Early Morning,2016-07-11 06:37:00,06:37:00,2016-07-11,Monday
146,Airport,191,Trip Completed,2016-07-11 05:29:00,05:29:00,2016-07-11,Monday,Early Morning,2016-07-11 06:08:00,06:08:00,2016-07-11,Monday
147,City,267,Cancelled,2016-07-11 05:26:00,05:26:00,2016-07-11,Monday,Early Morning,,,,
148,Airport,105,Trip Completed,2016-07-11 05:36:00,05:36:00,2016-07-11,Monday,Early Morning,2016-07-11 06:46:00,06:46:00,2016-07-11,Monday
149,City,111,Cancelled,2016-07-11 05:29:00,05:29:00,2016-07-11,Monday,Early Morning,,,,
150,City,9,Cancelled,2016-07-11 05:24:00,05:24:00,2016-07-11,Monday,Early Morning,,,,
151,City,290,Cancelled,2016-07-11 05:27:00,05:27:00,2016-07-11,Monday,Early Morning,,,,
152,City,294,Trip Completed,2016-07-11 05:29:00,05:29:00,2016-07-11,Monday,Early Morning,2016-07-11 06:16:00,06:16:00,2016-07-11,Monday
153,City,,No Cars Available,2016-07-11 05:33:00,05:33:00,2016-07-11,Monday,Early Morning,,,,
154,City,,No Cars Available,2016-07-11 05:31:00,05:31:00,2016-07-11,Monday,Early Morning,,,,
155,City,13,Trip Completed,2016-07-11 05:32:00,05:32:00,2016-07-11,Monday,Early Morning,2016-07-11 06:28:00,06:28:00,2016-07-11,Monday
156,Airport,96,Trip Completed,2016-07-11 05:35:00,05:35:00,2016-07-11,Monday,Early Morning,2016-07-11 06:40:00,06:40:00,2016-07-11,Monday
157,City,226,Cancelled,2016-07-11 05:38:00,05:38:00,2016-07-11,Monday,Early Morning,,,,
158,City,289,Trip Completed,2016-07-11 05:35:00,05:35:00,2016-07-11,Monday,Early Morning,2016-07-11 06:41:00,06:41:00,2016-07-11,Monday
159,City,,No Cars Available,2016-07-11 05:43:00,05:43:00,2016-07-11,Monday,Early Morning,,,,
160,Airport,72,Trip Completed,2016-07-11 05:38:00,05:38:00,2016-07-11,Monday,Early Morning,2016-07-11 06:34:00,06:34:00,2016-07-11,Monday
161,Airport,107,Trip Completed,2016-07-11 05:36:00,05:36:00,2016-07-11,Monday,Early Morning,2016-07-11 06:10:00,06:10:00,2016-07-11,Monday
162,City,70,Cancelled,2016-07-11 05:34:00,05:34:00,2016-07-11,Monday,Early Morning,,,,
163,City,161,Trip Completed,2016-07-11 05:35:00,05:35:00,2016-07-11,Monday,Early Morning,2016-07-11 06:49:00,06:49:00,2016-07-11,Monday
164,City,137,Cancelled,2016-07-11 05:40:00,05:40:00,2016-07-11,Monday,Early Morning,,,,
165,Airport,199,Trip Completed,2016-07-11 05:39:00,05:39:00,2016-07-11,Monday,Early Morning,2016-07-11 06:11:00,06:11:00,2016-07-11,Monday
166,City,269,Cancelled,2016-07-11 05:41:00,05:41:00,2016-07-11,Monday,Early Morning,,,,
167,City,,No Cars Available,2016-07-11 05:40:00,05:40:00,2016-07-11,Monday,Early Morning,,,,
168,City,62,Cancelled,2016-07-11 05:37:00,05:37:00,2016-07-11,Monday,Early Morning,,,,
169,City,184,Trip Completed,2016-07-11 05:45:00,05:45:00,2016-07-11,Monday,Early Morning,2016-07-11 06:48:00,06:48:00,2016-07-11,Monday
170,City,113,Trip Completed,2016-07-11 05:45:00,05:45:00,2016-07-11,Monday,Early Morning,2016-07-11 06:39:00,06:39:00,2016-07-11,Monday
171,City,,No Cars Available,2016-07-11 05:39:00,05:39:00,2016-07-11,Monday,Early Morning,,,,
172,Airport,59,Trip Completed,2016-07-11 05:41:00,05:41:00,2016-07-11,Monday,Early Morning,2016-07-11 06:19:00,06:19:00,2016-07-11,Monday
173,City,188,Trip Completed,2016-07-11 05:45:00,05:45:00,2016-07-11,Monday,Early Morning,2016-07-11 06:30:00,06:30:00,2016-07-11,Monday
174,Airport,119,Cancelled,2016-07-11 05:44:00,05:44:00,2016-07-11,Monday,Early Morning,,,,
175,City,160,Cancelled,2016-07-11 05:45:00,05:45:00,2016-07-11,Monday,Early Morning,,,,
176,City,67,Cancelled,2016-07-11 05:42:00,05:42:00,2016-07-11,Monday,Early Morning,,,,
177,City,169,Cancelled,2016-07-11 05:48:00,05:48:00,2016-07-11,Monday,Early Morning,,,,
178,City,,No Cars Available,2016-07-11 05:47:00,05:47:00,2016-07-11,Monday,Early Morning,,,,
179,City,,No Cars Available,2016-07-11 05:49:00,05:49:00,2016-07-11,Monday,Early Morning,,,,
180,Airport,112,Trip Completed,2016-07-11 05:48:00,05:48:00,2016-07-11,Monday,Early Morning,2016-07-11 06:28:00,06:28:00,2016-07-11,Monday
181,City,159,Cancelled,2016-07-11 05:46:00,05:46:00,2016-07-11,Monday,Early Morning,,,,
182,Airport,225,Trip Completed,2016-07-11 05:46:00,05:46:00,2016-07-11,Monday,Early Morning,2016-07-11 06:58:00,06:58:00,2016-07-11,Monday
183,City,252,Trip Completed,2016-07-11 05:49:00,05:49:00,2016-07-11,Monday,Early Morning,2016-07-11 06:29:00,06:29:00,2016-07-11,Monday
184,City,292,Cancelled,2016-07-11 05:49:00,05:49:00,2016-07-11,Monday,Early Morning,,,,
185,City,236,Cancelled,2016-07-11 05:43:00,05:43:00,2016-07-11,Monday,Early Morning,,,,
186,City,288,Cancelled,2016-07-11 05:48:00,05:48:00,2016-07-11,Monday,Early Morning,,,,
187,City,62,Cancelled,2016-07-11 05:57:00,05:57:00,2016-07-11,Monday,Early Morning,,,,
188,City,114,Cancelled,2016-07-11 05:54:00,05:54:00,2016-07-11,Monday,Early Morning,,,,
189,City,,No Cars Available,2016-07-11 05:58:00,05:58:00,2016-07-11,Monday,Early Morning,,,,
190,City,,No Cars Available,2016-07-11 05:53:00,05:53:00,2016-07-11,Monday,Early Morning,,,,
191,Airport,37,Trip Completed,2016-07-11 05:55:00,05:55:00,2016-07-11,Monday,Early Morning,2016-07-11 06:45:00,06:45:00,2016-07-11,Monday
192,City,202,Cancelled,2016-07-11 05:56:00,05:56:00,2016-07-11,Monday,Early Morning,,,,
193,City,213,Cancelled,2016-07-11 05:58:00,05:58:00,2016-07-11,Monday,Early Morning,,,,
194,City,,No Cars Available,2016-07-11 06:05:00,06:05:00,2016-07-11,Monday,Early Morning,,,,
195,City,297,Trip Completed,2016-07-11 06:05:00,06:05:00,2016-07-11,Monday,Early Morning,2016-07-11 06:52:00,06:52:00,2016-07-11,Monday
196,Airport,24,Cancelled,2016-07-11 06:07:00,06:07:00,2016-07-11,Monday,Early Morning,,,,
197,City,202,Trip Completed,2016-07-11 06:00:00,06:00:00,2016-07-11,Monday,Early Morning,2016-07-11 06:49:00,06:49:00,2016-07-11,Monday
198,Airport,249,Trip Completed,2016-07-11 06:03:00,06:03:00,2016-07-11,Monday,Early Morning,2016-07-11 06:44:00,06:44:00,2016-07-11,Monday
199,City,,No Cars Available,2016-07-11 06:07:00,06:07:00,2016-07-11,Monday,Early Morning,,,,
200,City,36,Cancelled,2016-07-11 06:10:00,06:10:00,2016-07-11,Monday,Early Morning,,,,
201,City,76,Trip Completed,2016-07-11 06:09:00,06:09:00,2016-07-11,Monday,Early Morning,2016-07-11 07:20:00,07:20:00,2016-07-11,Monday
202,City,94,Cancelled,2016-07-11 06:09:00,06:09:00,2016-07-11,Monday,Early Morning,,,,
203,City,,No Cars Available,2016-07-11 06:07:00,06:07:00,2016-07-11,Monday,Early Morning,,,,
204,City,27,Trip Completed,2016-07-11 06:04:00,06:04:00,2016-07-11,Monday,Early Morning,2016-07-11 06:44:00,06:44:00,2016-07-11,Monday
205,Airport,230,Trip Completed,2016-07-11 06:10:00,06:10:00,2016-07-11,Monday,Early Morning,2016-07-11 07:10:00,07:10:00,2016-07-11,Monday
206,City,232,Trip Completed,2016-07-11 06:07:00,06:07:00,2016-07-11,Monday,Early Morning,2016-07-11 06:37:00,06:37:00,2016-07-11,Monday
207,City,,No Cars Available,2016-07-11 06:06:00,06:06:00,2016-07-11,Monday,Early Morning,,,,
208,Airport,,No Cars Available,2016-07-11 06:05:00,06:05:00,2016-07-11,Monday,Early Morning,,,,
209,City,50,Cancelled,2016-07-11 06:11:00,06:11:00,2016-07-11,Monday,Early Morning,,,,
210,City,79,Cancelled,2016-07-11 06:12:00,06:12:00,2016-07-11,Monday,Early Morning,,,,
211,City,100,Trip Completed,2016-07-11 06:08:00,06:08:00,2016-07-11,Monday,Early Morning,2016-07-11 06:47:00,06:47:00,2016-07-11,Monday
212,City,106,Cancelled,2016-07-11 06:09:00,06:09:00,2016-07-11,Monday,Early Morning,,,,
213,City,116,Trip Completed,2016-07-11 06:15:00,06:15:00,2016-07-11,Monday,Early Morning,2016-07-11 06:57:00,06:57:00,2016-07-11,Monday
214,City,215,Trip Completed,2016-07-11 06:13:00,06:13:00,2016-07-11,Monday,Early Morning,2016-07-11 06:53:00,06:53:00,2016-07-11,Monday
215,City,14,Trip Completed,2016-07-11 06:15:00,06:15:00,2016-07-11,Monday,Early Morning,2016-07-11 07:07:00,07:07:00,2016-07-11,Monday
216,City,54,Cancelled,2016-07-11 06:13:00,06:13:00,2016-07-11,Monday,Early Morning,,,,
217,City,183,Cancelled,2016-07-11 06:12:00,06:12:00,2016-07-11,Monday,Early Morning,,,,
218,City,30,Cancelled,2016-07-11 06:14:00,06:14:00,2016-07-11,Monday,Early Morning,,,,
